what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.redo",1381283771520
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.redo",1381283771593
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.redo",1381283771683
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.redo",1381283771764
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381283774922
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381283799891
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1381283801027
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1381283804102
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1381283804794
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1381283804797
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1381283805171
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381283805859
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381283808647
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381283810508
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381283812801
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1381283816676
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1381283816680
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1381283816823
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381283816951
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381283823635
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381283825422
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381283828393
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1381283837750
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1381283856151
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1381283856154
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1381283856325
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1381283858445
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381283870632
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381283873404
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381283876075
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381283876286
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381283879506
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381283880129
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381283882267
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381283891283
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381284303694
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381284305734
activated,view,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui.views.tasks",1381284324891
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381284324954
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381284326705
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.ContentOutline",1381284362228
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381284362316
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1381284365317
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1381284365397
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1381284365397
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1381284367912
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381284375743
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381284413982
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381284415925
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381284419186
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381284424204
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381284552817
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381284564424
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381284583362
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381284655211
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381284728249
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381284733744
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381284771260
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381284775432
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381284788597
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381284802835
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381284828388
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381284868599
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1381284906136
